Vognløbsnummer	Firma
31360	Vojens Taxi Service ApS
31361	Reliable ApS
31362	Movicare ApS
31363	Movicare ApS
31364	Tc1021
31365	Movicare ApS
31366	Movicare ApS
31367	Movicare ApS
31368	Reliable ApS
31369	Reliable ApS
31370	Movicare ApS
31371	Reliable ApS
31372	SafeNcare Aps
31373	Vojens Taxi Service ApS
31374	KKL Entreprise ApS
31375	Reliable ApS
31376	Reliable ApS
31377	Reliable ApS
31378	Reliable ApS
31379	Flex Midt ApS
31380	Flex Midt ApS
31381	Flex Midt ApS
31382	Flex Midt ApS
31383	Taxi v/Lars Hansen
31384	Taxi v/Lars Hansen
31385	Reliable ApS
31386	MA Flextrafik ApS
31721	DANSK TAXI SERVICE
3431	SafeNcare Aps
3434	SafeNcare Aps
3262	Conn3ct+ ApS
3828	0
3420	SafeNcare Aps
3665	DK-TAXI
3466	MRB TRANSPORT
3664	SafeNcare Aps
3503	SafeNcare Aps
3827	KRONJYLLANDS TAXABUS
3502	SafeNcare Aps
3668	DK-TAXI
3437	SafeNcare Aps
3518	FLEXBUS 2 APS
3602	SafeNcare Aps
31710	MUNKEBO TAXI
3464	SafeNcare Aps
3435	SafeNcare Aps
3174	SafeNcare Aps
3474	OST JYLLAND-FYN
3513	OST JYLLAND-FYN
3662	SafeNcare Aps
3480	CONN3CT+ APS
3429	SafeNcare Aps
3481	CONN3CT+ APS
3476	SafeNcare Aps
3490	CONN3CT+ APS
3473	OST JYLLAND-FYN
3218	KRONJYLLANDS TAXABUS
3461	SafeNcare Aps
3446	JYSK FLYT OG TRANSPORT
3829	MRB TRANSPORT
3498	SafeNcare Aps
3173	SafeNcare Aps
3478	TC1021 APS
3430	SafeNcare Aps
3491	SafeNcare Aps
3496	SafeNcare Aps
3497	Movicare ApS
3035	MRB TRANSPORT
3439	SAFENCARE APS
3517	CONNE3CT+ APS
3577	SABINA APS
3525	SAFENCARE APS
3579	SAFENCARE APS
3499	Movicare ApS
3515	SAFENCARE APS
3436	SAFENCARE APS
3505	CONNE3CT+ APS
3585	FLEXBUS 2 APS
3587	OST JYLLAND-FYN
3511	OST JYLLAND-FYN
3589	Sivasspor
3241	MA Flextrafik ApS
3494	SAFENCARE APS
3591	MOVICARE APS
3471	MRB TRANSPORT
3595	FLEX MIDT APS
3509	OST JYLLAND-FYN
3581	OST JYLLAND-FYN
3593	OST JYLLAND-FYN
3594	OST JYLLAND-FYN
3582	MOVICARE APS
3704	VIKINGBUS DANMARK A/S
3033	ANC-transport
3588	CONN3CT+ APS
3570	OST JYLLAND-FYN
3596	OST JYLLAND-FYN
3597	OST JYLLAND-FYN
3706	VIKINGBUS DANMARK A/S
3663	SAFENCARE APS
3614	OST JYLLAND-FYN
3479	TC1021 APS
3630	OST JYLLAND-FYN
3590	Flex Midt ApS
3566	DK-TAXI
3637	HASLEFLEX
3598	CONNE3CT+ APS
3455	SAFENCARE APS
3599	SAFENCARE APS
3967	VIKINGBUS DANMARK A/S
3640	SAFENCARE APS
3671	NORDTRANSPORT APS
